TOTAL: 3543311
frames, misses, miss rate 
509,697624,0.196885
510,697295,0.196792
511,696984,0.196704
512,696633,0.196605
513,696268,0.196502
514,695938,0.196409
515,695588,0.196310
516,695258,0.196217
517,694927,0.196124
518,694587,0.196028
519,694263,0.195936
520,693936,0.195844
521,693598,0.195749
522,693277,0.195658
523,692954,0.195567
524,692615,0.195471
525,692298,0.195382
526,691965,0.195288
527,691674,0.195206
528,691323,0.195106
529,691000,0.195015
530,690701,0.194931
531,690405,0.194847
532,690073,0.194754
533,689734,0.194658
534,689402,0.194564
535,689083,0.194474
536,688737,0.194377
537,688385,0.194277
538,688062,0.194186
539,687772,0.194104
540,687450,0.194013
541,687144,0.193927
542,686855,0.193846
543,686554,0.193761
544,686248,0.193674
545,685940,0.193587
546,685582,0.193486
547,685272,0.193399
548,684976,0.193315
549,684662,0.193227
550,684328,0.193132
551,683992,0.193038
552,683704,0.192956
553,683392,0.192868
554,683073,0.192778
555,682815,0.192705
556,682504,0.192618
557,682194,0.192530
558,681904,0.192448
559,681600,0.192362
560,681285,0.192274
561,680983,0.192188
562,680674,0.192101
563,680363,0.192013
564,680077,0.191933
565,679789,0.191851
566,679520,0.191775
567,679212,0.191689
568,678919,0.191606
569,678643,0.191528
570,678355,0.191447
571,678042,0.191358
572,677740,0.191273
573,677454,0.191192
574,677123,0.191099
575,676806,0.191009
576,676513,0.190927
577,676200,0.190838
578,675905,0.190755
579,675608,0.190671
580,675307,0.190586
581,675017,0.190505
582,674715,0.190419
583,674386,0.190327
584,674078,0.190240
585,673818,0.190166
586,673507,0.190078
587,673223,0.189998
588,672950,0.189921
589,672668,0.189842
590,672412,0.189769
591,672127,0.189689
592,671817,0.189601
593,671553,0.189527
594,671298,0.189455
595,671014,0.189375
596,670729,0.189294
597,670449,0.189215
598,670199,0.189145
599,669915,0.189065
600,669637,0.188986
601,669354,0.188906
602,669056,0.188822
603,668775,0.188743
604,668496,0.188664
605,668213,0.188584
606,667949,0.188510
607,667655,0.188427
608,667385,0.188351
609,667095,0.188269
610,666810,0.188188
611,666494,0.188099
612,666185,0.188012
613,665908,0.187934
614,665641,0.187858
615,665360,0.187779
616,665091,0.187703
617,664797,0.187620
618,664516,0.187541
619,664208,0.187454
620,663935,0.187377
621,663653,0.187297
622,663383,0.187221
623,663099,0.187141
624,662843,0.187069
625,662558,0.186988
626,662276,0.186909
627,661977,0.186824
628,661701,0.186747
629,661419,0.186667
630,661158,0.186593
631,660854,0.186507
632,660591,0.186433
633,660302,0.186352
634,660049,0.186280
635,659802,0.186211
636,659527,0.186133
637,659275,0.186062
638,658998,0.185984
639,658726,0.185907
640,658453,0.185830
641,658196,0.185757
642,657916,0.185678
643,657644,0.185602
644,657379,0.185527
645,657115,0.185452
646,656842,0.185375
647,656564,0.185297
648,656322,0.185228
649,656033,0.185147
650,655768,0.185072
651,655487,0.184993
652,655228,0.184920
653,654953,0.184842
654,654700,0.184771
655,654435,0.184696
656,654183,0.184625
657,653904,0.184546
658,653660,0.184477
659,653409,0.184406
660,653141,0.184331
661,652880,0.184257
662,652611,0.184181
663,652328,0.184101
664,652060,0.184026
665,651810,0.183955
666,651575,0.183889
667,651307,0.183813
668,651025,0.183734
669,650785,0.183666
670,650547,0.183599
671,650289,0.183526
672,650046,0.183457
673,649810,0.183391
674,649547,0.183316
675,649277,0.183240
676,649006,0.183164
677,648760,0.183094
678,648491,0.183018
679,648186,0.182932
680,647915,0.182856
681,647640,0.182778
682,647401,0.182711
683,647150,0.182640
684,646886,0.182565
685,646633,0.182494
686,646377,0.182422
687,646134,0.182353
688,645851,0.182273
689,645606,0.182204
690,645365,0.182136
691,645117,0.182066
692,644855,0.181992
693,644586,0.181916
694,644326,0.181843
695,644065,0.181769
696,643801,0.181695
697,643529,0.181618
698,643310,0.181556
699,643038,0.181479
700,642795,0.181411
701,642536,0.181338
702,642294,0.181269
703,642047,0.181200
704,641817,0.181135
705,641561,0.181063
706,641318,0.180994
707,641054,0.180919
708,640791,0.180845
709,640528,0.180771
710,640269,0.180698
711,640037,0.180632
712,639812,0.180569
713,639584,0.180505
714,639373,0.180445
715,639134,0.180378
716,638912,0.180315
717,638659,0.180244
718,638418,0.180176
719,638185,0.180110
720,637953,0.180044
721,637735,0.179983
722,637495,0.179915
723,637234,0.179841
724,637000,0.179775
725,636757,0.179707
726,636549,0.179648
727,636339,0.179589
728,636104,0.179522
729,635875,0.179458
730,635669,0.179400
731,635430,0.179332
732,635179,0.179261
733,634938,0.179193
734,634704,0.179127
735,634469,0.179061
736,634225,0.178992
737,634000,0.178929
738,633773,0.178865
739,633527,0.178795
740,633288,0.178728
741,633074,0.178667
742,632837,0.178600
743,632607,0.178536
744,632395,0.178476
745,632152,0.178407
746,631919,0.178341
747,631668,0.178271
748,631431,0.178204
749,631197,0.178138
750,630960,0.178071
751,630716,0.178002
752,630488,0.177938
753,630255,0.177872
754,630000,0.177800
755,629738,0.177726
756,629498,0.177658
757,629254,0.177589
758,629016,0.177522
759,628783,0.177456
760,628547,0.177390
761,628308,0.177322
762,628080,0.177258
763,627839,0.177190
764,627579,0.177117
765,627345,0.177051
766,627126,0.176989
767,626865,0.176915
768,626624,0.176847
769,626368,0.176775
770,626125,0.176706
771,625898,0.176642
772,625660,0.176575
773,625445,0.176514
774,625200,0.176445
775,624975,0.176382
776,624722,0.176310
777,624459,0.176236
778,624197,0.176162
779,623920,0.176084
780,623644,0.176006
781,623406,0.175939
782,623166,0.175871
783,622926,0.175803
784,622679,0.175734
785,622424,0.175662
786,622167,0.175589
787,621925,0.175521
788,621667,0.175448
789,621427,0.175380
790,621188,0.175313
791,620894,0.175230
792,620617,0.175152
793,620396,0.175089
794,620161,0.175023
